NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT00000620,,,,
NCT00126737,"{""precision"": 0.5555555555555556, ""recall"": 0.4166666666666667, ""f1"": 0.4761904761904762}","{""precision"": 0.35, ""recall"": 0.5833333333333334, ""f1"": 0.4375}","{""precision"": 0.36363636363636365, ""recall"": 0.3333333333333333, ""f1"": 0.34782608695652173}","{""precision"": 0.4166666666666667, ""recall"": 0.4166666666666667, ""f1"": 0.4166666666666667}"
NCT00283686,"{""precision"": 0.8571428571428571, ""recall"": 0.33962264150943394, ""f1"": 0.48648648648648646}","{""precision"": 0.4, ""recall"": 0.2, ""f1"": 0.26666666666666666}","{""precision"": 0.375, ""recall"": 0.16216216216216217, ""f1"": 0.22641509433962265}","{""precision"": 0.23809523809523808, ""recall"": 0.13157894736842105, ""f1"": 0.1694915254237288}"
NCT00329030,"{""precision"": 0.17391304347826086, ""recall"": 0.5, ""f1"": 0.25806451612903225}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}","{""precision"": 0.3, ""recall"": 0.75, ""f1"": 0.4285714285714285}","{""precision"": 0.3125, ""recall"": 0.625, ""f1"": 0.4166666666666667}"
NCT00360334,"{""precision"": 0.4666666666666667, ""recall"": 0.7777777777777778, ""f1"": 0.5833333333333334}","{""precision"": 0.47368421052631576, ""recall"": 1.0, ""f1"": 0.6428571428571429}","{""precision"": 0.5333333333333333, ""recall"": 0.8888888888888888, ""f1"": 0.6666666666666667}","{""precision"": 0.35, ""recall"": 0.7777777777777778, ""f1"": 0.48275862068965514}"
NCT00395746,"{""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1"": 0.5}","{""precision"": 0.2777777777777778, ""recall"": 1.0, ""f1"": 0.4347826086956522}","{""precision"": 0.38461538461538464, ""recall"": 1.0, ""f1"": 0.5555555555555556}","{""precision"": 0.38461538461538464, ""recall"": 1.0, ""f1"": 0.5555555555555556}"
NCT00419562,"{""precision"": 0.5, ""recall"": 0.7, ""f1"": 0.5833333333333334}","{""precision"": 0.4375, ""recall"": 0.6363636363636364, ""f1"": 0.5185185185185185}","{""precision"": 0.5833333333333334, ""recall"": 0.7, ""f1"": 0.6363636363636365}","{""precision"": 0.5454545454545454, ""recall"": 0.6, ""f1"": 0.5714285714285713}"
NCT00441064,"{""precision"": 0.6, ""recall"": 0.46153846153846156, ""f1"": 0.5217391304347826}","{""precision"": 0.4, ""recall"": 0.6153846153846154, ""f1"": 0.4848484848484849}","{""precision"": 0.38461538461538464, ""recall"": 0.38461538461538464, ""f1"": 0.38461538461538464}","{""precision"": 0.5, ""recall"": 0.6153846153846154, ""f1"": 0.5517241379310345}"
NCT00490529,"{""precision"": 0.15789473684210525, ""recall"": 0.375, ""f1"": 0.22222222222222218}","{""precision"": 0.2, ""recall"": 0.375, ""f1"": 0.26086956521739135}","{""precision"": 0.23076923076923078, ""recall"": 0.375, ""f1"": 0.2857142857142857}","{""precision"": 0.4, ""recall"": 0.6, ""f1"": 0.48}"
NCT00552409,"{""precision"": 0.42857142857142855, ""recall"": 0.75, ""f1"": 0.5454545454545454}","{""precision"": 0.375, ""recall"": 0.75, ""f1"": 0.5}","{""precision"": 0.4, ""recall"": 0.75, ""f1"": 0.5217391304347827}","{""precision"": 0.4, ""recall"": 0.75, ""f1"": 0.5217391304347827}"
