NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT00000620,,,,
NCT00003901,"{""precision"": 0.1111111111111111, ""recall"": 0.18181818181818182, ""f1"": 0.13793103448275862}","{""precision"": 0.3333333333333333, ""recall"": 0.36363636363636365, ""f1"": 0.34782608695652173}","{""precision"": 0.18181818181818182, ""recall"": 0.18181818181818182, ""f1"": 0.18181818181818182}","{""precision"": 0.45454545454545453, ""recall"": 0.45454545454545453, ""f1"": 0.45454545454545453}"
NCT00005879,"{""precision"": 0.0625, ""recall"": 0.16666666666666666, ""f1"": 0.09090909090909091}","{""precision"": 0.2857142857142857, ""recall"": 0.5, ""f1"": 0.36363636363636365}","{""precision"": 0.2, ""recall"": 0.3333333333333333, ""f1"": 0.25}","{""precision"": 0.2608695652173913, ""recall"": 0.5, ""f1"": 0.3428571428571428}"
NCT00005908,"{""precision"": 0.0625, ""recall"": 0.16666666666666666, ""f1"": 0.09090909090909091}","{""precision"": 0.2857142857142857, ""recall"": 0.6666666666666666, ""f1"": 0.4}","{""precision"": 0.11764705882352941, ""recall"": 0.3333333333333333, ""f1"": 0.1739130434782609}","{""precision"": 0.2857142857142857, ""recall"": 0.6666666666666666, ""f1"": 0.4}"
NCT00006110,"{""precision"": 0.05263157894736842, ""recall"": 0.14285714285714285, ""f1"": 0.07692307692307693}","{""precision"": 0.2, ""recall"": 0.42857142857142855, ""f1"": 0.27272727272727276}","{""precision"": 0.0625, ""recall"": 0.14285714285714285, ""f1"": 0.08695652173913043}","{""precision"": 0.06666666666666667, ""recall"": 0.14285714285714285, ""f1"": 0.09090909090909091}"
NCT00006392,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}","{""precision"": 0.0625, ""recall"": 0.125, ""f1"": 0.08333333333333333}","{""precision"": 0.36363636363636365, ""recall"": 0.5, ""f1"": 0.4210526315789474}"
NCT00027846,"{""precision"": 0.0, ""recall"": 0.0, ""f1"": 0}","{""precision"": 0.3, ""recall"": 0.5, ""f1"": 0.37499999999999994}","{""precision"": 0.07692307692307693, ""recall"": 0.16666666666666666, ""f1"": 0.10526315789473684}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}"
NCT00028093,"{""precision"": 0.06896551724137931, ""recall"": 0.18181818181818182, ""f1"": 0.1}","{""precision"": 0.4, ""recall"": 0.5454545454545454, ""f1"": 0.4615384615384615}","{""precision"": 0.15, ""recall"": 0.2727272727272727, ""f1"": 0.19354838709677416}","{""precision"": 0.2222222222222222, ""recall"": 0.36363636363636365, ""f1"": 0.27586206896551724}"
NCT00028769,"{""precision"": 0.058823529411764705, ""recall"": 0.125, ""f1"": 0.07999999999999999}","{""precision"": 0.15384615384615385, ""recall"": 0.25, ""f1"": 0.1904761904761905}","{""precision"": 0.05555555555555555, ""recall"": 0.125, ""f1"": 0.07692307692307691}","{""precision"": 0.15, ""recall"": 0.375, ""f1"": 0.21428571428571425}"
NCT00052962,"{""precision"": 0.0625, ""recall"": 0.16666666666666666, ""f1"": 0.09090909090909091}","{""precision"": 0.26666666666666666, ""recall"": 0.6666666666666666, ""f1"": 0.3809523809523809}","{""precision"": 0.16666666666666666, ""recall"": 0.3333333333333333, ""f1"": 0.2222222222222222}","{""precision"": 0.2222222222222222, ""recall"": 0.6666666666666666, ""f1"": 0.3333333333333333}"
NCT00062764,"{""precision"": 0.11538461538461539, ""recall"": 0.3333333333333333, ""f1"": 0.17142857142857146}","{""precision"": 0.3333333333333333, ""recall"": 0.4444444444444444, ""f1"": 0.380952380952381}","{""precision"": 0.1, ""recall"": 0.2222222222222222, ""f1"": 0.13793103448275865}","{""precision"": 0.3333333333333333, ""recall"": 0.4444444444444444, ""f1"": 0.380952380952381}"
