NCTId,gpt4o_zs_gen_scores,gpt4o_ts_gen_scores,llama3_70b_it_zs_gen_scores,llama3_70b_it_ts_gen_scores
NCT00000620,,,,
NCT00003901,"{""precision"": 0.2222222222222222, ""recall"": 0.36363636363636365, ""f1"": 0.27586206896551724}","{""precision"": 0.5833333333333334, ""recall"": 0.6363636363636364, ""f1"": 0.6086956521739131}","{""precision"": 0.45454545454545453, ""recall"": 0.45454545454545453, ""f1"": 0.45454545454545453}","{""precision"": 0.6363636363636364, ""recall"": 0.6363636363636364, ""f1"": 0.6363636363636364}"
NCT00005879,"{""precision"": 0.125, ""recall"": 0.3333333333333333, ""f1"": 0.18181818181818182}","{""precision"": 0.2857142857142857, ""recall"": 0.5, ""f1"": 0.36363636363636365}","{""precision"": 0.25, ""recall"": 0.4166666666666667, ""f1"": 0.3125}","{""precision"": 0.2608695652173913, ""recall"": 0.5, ""f1"": 0.3428571428571428}"
NCT00005908,"{""precision"": 0.125, ""recall"": 0.3333333333333333, ""f1"": 0.18181818181818182}","{""precision"": 0.2857142857142857, ""recall"": 0.6666666666666666, ""f1"": 0.4}","{""precision"": 0.23529411764705882, ""recall"": 0.6666666666666666, ""f1"": 0.3478260869565218}","{""precision"": 0.2857142857142857, ""recall"": 0.6666666666666666, ""f1"": 0.4}"
NCT00006110,"{""precision"": 0.15789473684210525, ""recall"": 0.42857142857142855, ""f1"": 0.23076923076923078}","{""precision"": 0.3333333333333333, ""recall"": 0.7142857142857143, ""f1"": 0.4545454545454545}","{""precision"": 0.25, ""recall"": 0.5714285714285714, ""f1"": 0.34782608695652173}","{""precision"": 0.26666666666666666, ""recall"": 0.5714285714285714, ""f1"": 0.36363636363636365}"
NCT00006392,"{""precision"": 0.125, ""recall"": 0.25, ""f1"": 0.16666666666666666}","{""precision"": 0.4166666666666667, ""recall"": 0.625, ""f1"": 0.5}","{""precision"": 0.25, ""recall"": 0.5, ""f1"": 0.3333333333333333}","{""precision"": 0.45454545454545453, ""recall"": 0.625, ""f1"": 0.5263157894736842}"
NCT00027846,"{""precision"": 0.2, ""recall"": 0.3333333333333333, ""f1"": 0.25}","{""precision"": 0.3, ""recall"": 0.5, ""f1"": 0.37499999999999994}","{""precision"": 0.3076923076923077, ""recall"": 0.6666666666666666, ""f1"": 0.42105263157894735}","{""precision"": 0.3333333333333333, ""recall"": 0.5, ""f1"": 0.4}"
NCT00028093,"{""precision"": 0.1724137931034483, ""recall"": 0.45454545454545453, ""f1"": 0.25000000000000006}","{""precision"": 0.4666666666666667, ""recall"": 0.6363636363636364, ""f1"": 0.5384615384615385}","{""precision"": 0.35, ""recall"": 0.6363636363636364, ""f1"": 0.45161290322580644}","{""precision"": 0.3333333333333333, ""recall"": 0.5454545454545454, ""f1"": 0.41379310344827586}"
NCT00028769,"{""precision"": 0.11764705882352941, ""recall"": 0.25, ""f1"": 0.15999999999999998}","{""precision"": 0.3076923076923077, ""recall"": 0.5, ""f1"": 0.380952380952381}","{""precision"": 0.1111111111111111, ""recall"": 0.25, ""f1"": 0.15384615384615383}","{""precision"": 0.25, ""recall"": 0.625, ""f1"": 0.35714285714285715}"
NCT00052962,"{""precision"": 0.125, ""recall"": 0.3333333333333333, ""f1"": 0.18181818181818182}","{""precision"": 0.26666666666666666, ""recall"": 0.6666666666666666, ""f1"": 0.3809523809523809}","{""precision"": 0.16666666666666666, ""recall"": 0.3333333333333333, ""f1"": 0.2222222222222222}","{""precision"": 0.2222222222222222, ""recall"": 0.6666666666666666, ""f1"": 0.3333333333333333}"
NCT00062764,"{""precision"": 0.23076923076923078, ""recall"": 0.6666666666666666, ""f1"": 0.3428571428571429}","{""precision"": 0.3333333333333333, ""recall"": 0.4444444444444444, ""f1"": 0.380952380952381}","{""precision"": 0.3, ""recall"": 0.6666666666666666, ""f1"": 0.41379310344827586}","{""precision"": 0.4166666666666667, ""recall"": 0.5555555555555556, ""f1"": 0.4761904761904762}"
NCT00063232,"{""precision"": 0.21052631578947367, ""recall"": 0.5714285714285714, ""f1"": 0.3076923076923077}","{""precision"": 0.35714285714285715, ""recall"": 0.7142857142857143, ""f1"": 0.4761904761904762}","{""precision"": 0.2, ""recall"": 0.5714285714285714, ""f1"": 0.29629629629629634}","{""precision"": 0.3157894736842105, ""recall"": 0.8571428571428571, ""f1"": 0.46153846153846156}"
NCT00063882,"{""precision"": 0.2631578947368421, ""recall"": 0.5, ""f1"": 0.3448275862068966}","{""precision"": 0.6363636363636364, ""recall"": 0.7, ""f1"": 0.6666666666666666}","{""precision"": 0.5833333333333334, ""recall"": 0.7, ""f1"": 0.6363636363636365}","{""precision"": 0.6666666666666666, ""recall"": 0.6, ""f1"": 0.631578947368421}"
NCT00064753,"{""precision"": 0.47368421052631576, ""recall"": 0.6923076923076923, ""f1"": 0.5625}","{""precision"": 0.5, ""recall"": 0.46153846153846156, ""f1"": 0.48000000000000004}","{""precision"": 0.5333333333333333, ""recall"": 0.6153846153846154, ""f1"": 0.5714285714285715}","{""precision"": 0.4444444444444444, ""recall"": 0.6153846153846154, ""f1"": 0.5161290322580646}"
NCT00066729,"{""precision"": 0.1, ""recall"": 0.5, ""f1"": 0.16666666666666669}","{""precision"": 0.3333333333333333, ""recall"": 0.8333333333333334, ""f1"": 0.47619047619047616}","{""precision"": 0.05263157894736842, ""recall"": 0.16666666666666666, ""f1"": 0.08}","{""precision"": 0.23529411764705882, ""recall"": 0.6666666666666666, ""f1"": 0.3478260869565218}"
NCT00069576,"{""precision"": 0.13333333333333333, ""recall"": 0.4, ""f1"": 0.2}","{""precision"": 0.35714285714285715, ""recall"": 0.5, ""f1"": 0.41666666666666663}","{""precision"": 0.3, ""recall"": 0.6, ""f1"": 0.4}","{""precision"": 0.3333333333333333, ""recall"": 0.4, ""f1"": 0.3636363636363636}"
NCT00069784,"{""precision"": 0.24, ""recall"": 0.6666666666666666, ""f1"": 0.3529411764705882}","{""precision"": 0.375, ""recall"": 0.6666666666666666, ""f1"": 0.4800000000000001}","{""precision"": 0.3684210526315789, ""recall"": 0.7777777777777778, ""f1"": 0.5}","{""precision"": 0.375, ""recall"": 0.6666666666666666, ""f1"": 0.4800000000000001}"
NCT00079001,"{""precision"": 0.2, ""recall"": 0.3333333333333333, ""f1"": 0.25}","{""precision"": 0.36363636363636365, ""recall"": 0.6666666666666666, ""f1"": 0.4705882352941177}","{""precision"": 0.16666666666666666, ""recall"": 0.3333333333333333, ""f1"": 0.2222222222222222}","{""precision"": 0.4, ""recall"": 0.6666666666666666, ""f1"": 0.5}"
NCT00079274,"{""precision"": 0.6, ""recall"": 0.8, ""f1"": 0.6857142857142857}","{""precision"": 0.46153846153846156, ""recall"": 0.6666666666666666, ""f1"": 0.5454545454545455}","{""precision"": 0.3, ""recall"": 0.6666666666666666, ""f1"": 0.41379310344827586}","{""precision"": 0.6363636363636364, ""recall"": 0.7777777777777778, ""f1"": 0.7000000000000001}"
NCT00080301,"{""precision"": 0.29411764705882354, ""recall"": 0.45454545454545453, ""f1"": 0.35714285714285715}","{""precision"": 0.3333333333333333, ""recall"": 0.36363636363636365, ""f1"": 0.34782608695652173}","{""precision"": 0.38461538461538464, ""recall"": 0.45454545454545453, ""f1"": 0.41666666666666663}","{""precision"": 0.2857142857142857, ""recall"": 0.36363636363636365, ""f1"": 0.32}"
NCT00082368,"{""precision"": 0.75, ""recall"": 0.5454545454545454, ""f1"": 0.631578947368421}","{""precision"": 0.4444444444444444, ""recall"": 0.4444444444444444, ""f1"": 0.4444444444444444}","{""precision"": 0.4166666666666667, ""recall"": 0.5555555555555556, ""f1"": 0.4761904761904762}","{""precision"": 0.4444444444444444, ""recall"": 0.4444444444444444, ""f1"": 0.4444444444444444}"
NCT00085540,"{""precision"": 0.2857142857142857, ""recall"": 1.0, ""f1"": 0.4444444444444445}","{""precision"": 0.35294117647058826, ""recall"": 1.0, ""f1"": 0.5217391304347826}","{""precision"": 0.3157894736842105, ""recall"": 1.0, ""f1"": 0.4799999999999999}","{""precision"": 0.3333333333333333, ""recall"": 1.0, ""f1"": 0.5}"
NCT00086580,"{""precision"": 0.2, ""recall"": 0.5454545454545454, ""f1"": 0.29268292682926833}","{""precision"": 0.3, ""recall"": 0.5454545454545454, ""f1"": 0.3870967741935483}","{""precision"": 0.4, ""recall"": 0.7272727272727273, ""f1"": 0.5161290322580645}","{""precision"": 0.3888888888888889, ""recall"": 0.6363636363636364, ""f1"": 0.4827586206896552}"
NCT00088530,"{""precision"": 0.3, ""recall"": 0.5, ""f1"": 0.37499999999999994}","{""precision"": 0.5, ""recall"": 1.0, ""f1"": 0.6666666666666666}","{""precision"": 0.17647058823529413, ""recall"": 0.5, ""f1"": 0.2608695652173913}","{""precision"": 0.2727272727272727, ""recall"": 0.5, ""f1"": 0.3529411764705882}"
