NCTId,TrialGroup,Generation Model,Positive Hallucination,Negative Hallucination,Multi-match Hallucination,Correct Matches,Precision,Recall,F1
NCT00000620,hypertension,gpt4o_zs_gen_hal,,,,,,,
NCT00126737,obesity,gpt4o_zs_gen_hal,0.0,0.0,0.0,5.0,0.5555555555555556,0.4166666666666667,0.4761904761904762
NCT00283686,hypertension,gpt4o_zs_gen_hal,15.0,0.0,0.0,3.0,0.14285714285714285,0.07894736842105263,0.1016949152542373
NCT00329030,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,4.0,0.17391304347826086,0.5,0.25806451612903225
NCT00360334,diabetes,gpt4o_zs_gen_hal,0.0,0.0,0.0,7.0,0.4666666666666667,0.7777777777777778,0.5833333333333334
NCT00395746,diabetes,gpt4o_zs_gen_hal,0.0,0.0,0.0,5.0,0.3333333333333333,1.0,0.5
NCT00419562,diabetes,gpt4o_zs_gen_hal,0.0,0.0,0.0,7.0,0.5,0.7,0.5833333333333334
NCT00441064,hypertension,gpt4o_zs_gen_hal,0.0,0.0,0.0,6.0,0.6,0.46153846153846156,0.5217391304347826
NCT00490529,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,3.0,0.15789473684210525,0.375,0.22222222222222218
NCT00552409,chronic kidney disease,gpt4o_zs_gen_hal,0.0,0.0,0.0,6.0,0.42857142857142855,0.75,0.5454545454545454
NCT00556933,chronic kidney disease,gpt4o_zs_gen_hal,0.0,0.0,0.0,9.0,0.5,0.4090909090909091,0.45
NCT00568178,hypertension,gpt4o_zs_gen_hal,0.0,0.0,0.0,3.0,0.21428571428571427,0.25,0.23076923076923075
NCT00618072,obesity,gpt4o_zs_gen_hal,0.0,0.0,1.0,7.0,0.5833333333333334,0.3888888888888889,0.4666666666666666
NCT00713830,diabetes,gpt4o_zs_gen_hal,0.0,0.0,0.0,8.0,0.27586206896551724,0.5,0.35555555555555557
NCT00751114,diabetes,gpt4o_zs_gen_hal,0.0,1.0,0.0,11.0,0.55,0.5,0.5238095238095238
NCT00781937,obesity,gpt4o_zs_gen_hal,0.0,0.0,0.0,6.0,0.375,0.75,0.5
