NCTId,TrialGroup,Generation Model,Positive Hallucination,Negative Hallucination,Multi-match Hallucination,Correct Matches,Precision,Recall,F1
NCT00000620,hypertension,gpt4o_zs_gen_hal,,,,,,,
NCT00003901,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,4.0,0.2222222222222222,0.36363636363636365,0.27586206896551724
NCT00005879,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,4.0,0.125,0.3333333333333333,0.18181818181818182
NCT00005908,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,2.0,0.125,0.3333333333333333,0.18181818181818182
NCT00006110,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,3.0,0.15789473684210525,0.42857142857142855,0.23076923076923078
NCT00006392,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,2.0,0.125,0.25,0.16666666666666666
NCT00027846,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,2.0,0.2,0.3333333333333333,0.25
NCT00028093,chronic kidney disease,gpt4o_zs_gen_hal,0.0,0.0,0.0,5.0,0.1724137931034483,0.45454545454545453,0.25000000000000006
NCT00028769,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,2.0,0.11764705882352941,0.25,0.15999999999999998
NCT00052962,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,2.0,0.125,0.3333333333333333,0.18181818181818182
NCT00062764,diabetes,gpt4o_zs_gen_hal,0.0,0.0,0.0,6.0,0.23076923076923078,0.6666666666666666,0.3428571428571429
NCT00063232,obesity,gpt4o_zs_gen_hal,0.0,0.0,0.0,4.0,0.21052631578947367,0.5714285714285714,0.3076923076923077
NCT00063882,cancer,gpt4o_zs_gen_hal,1.0,1.0,0.0,4.0,0.21052631578947367,0.4,0.27586206896551724
NCT00064753,chronic kidney disease,gpt4o_zs_gen_hal,1.0,2.0,0.0,8.0,0.42105263157894735,0.6153846153846154,0.5
NCT00066729,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,3.0,0.1,0.5,0.16666666666666669
NCT00069576,diabetes,gpt4o_zs_gen_hal,0.0,0.0,0.0,4.0,0.13333333333333333,0.4,0.2
NCT00069784,diabetes,gpt4o_zs_gen_hal,0.0,0.0,0.0,6.0,0.24,0.6666666666666666,0.3529411764705882
NCT00079001,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,2.0,0.2,0.3333333333333333,0.25
NCT00079274,cancer,gpt4o_zs_gen_hal,6.0,0.0,0.0,6.0,0.3,0.6666666666666666,0.41379310344827586
NCT00080301,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,5.0,0.29411764705882354,0.45454545454545453,0.35714285714285715
NCT00082368,cancer,gpt4o_zs_gen_hal,2.0,0.0,0.0,4.0,0.5,0.4444444444444444,0.47058823529411764
NCT00085540,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,6.0,0.2857142857142857,1.0,0.4444444444444445
NCT00086580,cancer,gpt4o_zs_gen_hal,0.0,0.0,0.0,6.0,0.2,0.5454545454545454,0.29268292682926833
